census_tract_number,Walkability,Total Population,% 0 Vehicle HH,% 1 Vehicle HH,% 2+ Vehicle HH,% Low Wage Workers,Population Density,Employment Density,Pedestrian Network Density,Transit Frequency,state_x,county_x,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,state_y,county_y,life_expectancy,obesity
48439113116,9.5,2842,0.13190184,0.40797546,0.460122699,0.230263158,21.13344431,4.022939259,17.34309361,-99999.0,Texas,Tarrant County,1,1,1,1,TX,Arlington,77.0,34.1
48439106101,10.5,843,0.013333333,0.391111111,0.595555556,0.290249433,1.069927898,4.034757756,5.86504972,3.142251168,Texas,Tarrant County,1,1,1,0,TX,Fort Worth,72.4,46.1
48439111203,5.333333333,4200,0.064814815,0.342592593,0.592592593,0.193144723,2.209619288,1.33471527,6.545280307,-99999.0,Texas,Tarrant County,0,0,0,0,TX,Fort Worth,79.4,32.4
48439111013,7.166666667,4338,0.014874915,0.212305612,0.772819473,0.200331126,2.120653376,0.389617506,3.954178324,-99999.0,Texas,Tarrant County,0,0,0,0,TX,Fort Worth,76.6,36.6
48439106102,11.5,2782,0.091402715,0.539366516,0.369230769,0.282864914,5.676256712,3.217633658,15.68272373,2.611649386,Texas,Tarrant County,1,1,1,1,TX,Fort Worth,72.7,42.1
48439106515,13.0,1678,0.117482517,0.523076923,0.359440559,0.255813953,6.822531852,0.605814807,10.64169438,19.07381491,Texas,Tarrant County,1,1,1,1,TX,Fort Worth,77.0,40.3
48439106517,9.833333333,1938,0.184073107,0.483028721,0.332898172,0.250257467,4.381446445,5.765061112,8.46364188,2.85730071,Texas,Tarrant County,0,0,0,0,TX,Fort Worth,76.8,34.3
48439106511,10.33333333,3043,0.013306039,0.187308086,0.799385875,0.234385965,5.247548215,0.162099748,7.864961773,4.245156902,Texas,Tarrant County,1,1,1,1,TX,Fort Worth,78.8,40.9
48439111404,6.833333333,2259,0.036639857,0.529937444,0.433422699,0.209107807,10.94105787,2.542742532,8.032297292,-99999.0,Texas,Tarrant County,0,0,0,0,TX,Arlington,76.9,33.1
48439111016,5.333333333,1173,0.0,0.19212963,0.80787037,0.196987254,3.200826637,0.062761307,11.34401591,-99999.0,Texas,Tarrant County,0,0,0,0,TX,Fort Worth,78.8,32.6
48439111514,8.0,2074,0.009160305,0.242748092,0.748091603,0.232876712,10.54545924,0.757605317,15.53190484,-99999.0,Texas,Tarrant County,0,0,0,0,TX,Arlington,75.5,33.3
48439113114,6.166666667,1528,0.0,0.390052356,0.609947644,0.212121212,6.657204474,0.71887352,10.10577059,-99999.0,Texas,Tarrant County,0,0,0,0,TX,Arlington,78.7,29.2
48439113111,7.333333333,910,0.068126521,0.474452555,0.457420925,0.240901213,4.567470575,39.24511256,9.22720698,-99999.0,Texas,Tarrant County,0,1,0,0,TX,Arlington,78.7,40.9
48439113110,7.333333333,1417,0.04,0.595555556,0.364444444,0.208387942,9.988087208,2.76311234,8.870167799,-99999.0,Texas,Tarrant County,0,0,0,0,TX,Arlington,75.9,33.2
48439113926,7.0,2054,0.053932584,0.473033708,0.473033708,0.1760841,2.551129434,0.557671429,8.507582813,-99999.0,Texas,Tarrant County,0,0,0,0,TX,Fort Worth,81.9,30.3
48439101402,16.33333333,1872,0.015384615,0.196581197,0.788034188,0.236588721,9.122071295,0.838139029,18.12630661,48.86935289,Texas,Tarrant County,0,1,0,0,TX,Fort Worth,80.7,43.6
